,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
148,1_4,CMT,2002,Maize,0,5588.840945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.520916,50.43825,20.511555,50.43825
149,2_3,OMT,2002,Tomato,1977.4764,0,1260.27,104.52,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
150,2_4,LMT,2002,Maize,0,4254.625,1099.75,83.35,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
151,4_4,LMT,2002,Maize,0,5195.416667,1362.28,117.62,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
152,4_5,CMT,2002,Tomato,2907.6754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
153,5_5,CMT,2002,Maize,0,6450.17336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.520916,50.43825,20.511555,50.43825
154,6_3,LMT,2002,Tomato,3500.2006,0,783.27,69.072,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
155,6_4,OMT,2002,Tomato,2209.968,0,1423.93,123.29,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
156,6_5,OMT,2002,Maize,0,5572.007087,1483.12,135.06,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
157,6_7,LMT,2002,Tomato,2748.9488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
158,6_8,OMT,2002,Tomato,2399.8176,0,1498.41,141.84,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
159,6_9,LMT,2002,Maize,0,5055,1454.32,144.39,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
160,7_8,CMT,2002,Maize,0,5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.520916,50.43825,20.511555,50.43825
161,8_8,OMT,2002,Maize,0,6054.57769,1289.14,114.11,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
162,8_9,CMT,2002,Tomato,3418.3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
163,1_1,LMT,2003,Maize,0,3805.291667,1487.435,162.55,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
164,1_2,OMT,2003,Tomato,1920.3732,0,1537.355,157.01,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
165,1_3,CMT,2003,Maize,0,5252.16378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
166,1_4,CMT,2003,Tomato,2656.1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
167,2_3,OMT,2003,Maize,0,5142.743701,1587.71,161.87,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
168,2_4,LMT,2003,Tomato,2016.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
169,4_4,LMT,2003,Tomato,3088.1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
170,4_5,CMT,2003,Maize,0,6147.163911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
171,5_5,CMT,2003,Tomato,2314.5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
172,6_3,LMT,2003,Maize,0,4094.55,1325.945,153.23,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
173,6_4,OMT,2003,Maize,0,5412.085433,1832.77,180.03,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
174,6_5,OMT,2003,Tomato,1880.6976,0,1581.975,170.445,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
175,6_7,LMT,2003,Maize,0,4083.316667,1346.405,159.205,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
176,6_8,OMT,2003,Maize,0,5316.69357,1859.705,211.715,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
177,6_9,LMT,2003,Tomato,2775.0697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
178,7_8,CMT,2003,Tomato,2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.2999263,55.9864575,279.8818493,55.9864575
179,8_8,OMT,2003,Tomato,2354.9508,0,1269.565,146.13,0,0,4,11.1,1.55,1.24,1.23,3760,995.3148,111.18832,110.29164,33.715168,138.9854,0,0,0,0
180,8_9,CMT,2003,Maize,0,5863.793963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
181,1_1,LMT,2004,Tomato,1509.4937,0,806.695,76.33,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
182,1_2,OMT,2004,Maize,0,4421.693438,2417.165,150.645,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
183,1_3,CMT,2004,Tomato,2443.3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
184,1_4,CMT,2004,Maize,0,5137.132415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
185,2_3,OMT,2004,Tomato,1852.5168,0,1305.71,93.895,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
186,2_4,LMT,2004,Maize,0,4527.033333,1843.92,190.69,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
187,4_4,LMT,2004,Maize,0,4616.9,1828.33,196.97,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
188,4_5,CMT,2004,Tomato,2546.4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
189,5_5,CMT,2004,Maize,0,6012.493045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
190,6_3,LMT,2004,Tomato,2008.734,0,1055.4,62.38,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
191,6_4,OMT,2004,Tomato,2040.1416,0,1600.45,121.095,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
192,6_5,OMT,2004,Maize,0,4677.006955,3331.09,210.36,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
193,6_7,LMT,2004,Tomato,1476.3827,0,719.49,60.085,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
194,6_8,OMT,2004,Tomato,1693.0728,0,1235.535,97.63,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
195,6_9,LMT,2004,Maize,0,5142.058333,2121.11,240.41,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
196,7_8,CMT,2004,Maize,0,6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
197,8_8,OMT,2004,Maize,0,5013.684121,1590.43,110.615,0,0,4,14.4,2.03,1.47,1.43,5050,1291.2192,131.81196,128.22524,45.28234,182.02604,0,0,0,0
198,8_9,CMT,2004,Tomato,3071.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
199,1_1,LMT,2005,Maize,0,4642.175,1113.76,110.835,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
200,1_2,OMT,2005,Tomato,2089.8288,0,1060.8,76.635,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
201,1_3,CMT,2005,Maize,0,5616.897375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
202,1_4,CMT,2005,Tomato,2342.8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
203,2_3,OMT,2005,Maize,0,4954.765617,1255.03,112.815,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
204,2_4,LMT,2005,Tomato,2307.8367,0,873.86,74.91,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
205,4_4,LMT,2005,Tomato,2024.5537,0,897.19,64.84,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
206,4_5,CMT,2005,Maize,0,5877.822178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
207,5_5,CMT,2005,Tomato,2686.3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
208,6_3,LMT,2005,Maize,0,4805.058333,1101.055,116.68,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
209,6_4,OMT,2005,Maize,0,6304.279921,1353.54,134.25,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
210,6_5,OMT,2005,Tomato,2250.3852,0,1301.56,101.12,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
211,6_7,LMT,2005,Maize,0,4824.716667,1057.68,106.06,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
212,6_8,OMT,2005,Maize,0,5961.99147,1382.42,139.515,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
213,6_9,LMT,2005,Tomato,2305.2614,0,860.175,78.525,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
214,7_8,CMT,2005,Tomato,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
215,8_8,OMT,2005,Tomato,2053.1196,0,877.12,83.855,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
216,8_9,CMT,2005,Maize,0,5187.63399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
217,1_1,LMT,2006,Tomato,2758.739,0,1412.595,134.015,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
218,1_2,OMT,2006,Maize,0,5575.669291,1539.695,122.735,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
219,1_3,CMT,2006,Tomato,1887.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
220,1_4,CMT,2006,Maize,0,5825.62336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
221,2_3,OMT,2006,Tomato,2863.43,0,1621.115,137.015,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
222,2_4,LMT,2006,Maize,0,3884.822835,1794.885,168.415,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
223,4_4,LMT,2006,Maize,0,4990.944882,1610.98,136.29,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
224,4_5,CMT,2006,Tomato,2423.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
225,5_5,CMT,2006,Maize,0,5450.787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
226,6_3,LMT,2006,Tomato,4006.233,0,1371.145,145.32,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
227,6_4,OMT,2006,Tomato,3317.68,0,1909.58,173.895,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
228,6_5,OMT,2006,Maize,0,5264.993438,1969.9,162.555,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
229,6_7,LMT,2006,Tomato,2211.78,0,1404.18,437.22,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
230,6_8,OMT,2006,Tomato,2186.586,0,1851.41,180.105,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
231,6_9,LMT,2006,Maize,0,5406.041667,1429.94,143.35,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
232,7_8,CMT,2006,Maize,0,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
233,8_8,OMT,2006,Maize,0,5866.377953,1761.27,168.645,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
234,8_9,CMT,2006,Tomato,4171.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
235,1_1,LMT,2007,Maize,0,4161.95,2002.435,58.985,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
236,1_2,OMT,2007,Tomato,2941.1856,0,1628.92,79.06,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
237,1_3,CMT,2007,Maize,0,7906.3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
238,1_4,CMT,2007,Tomato,3515.9418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
239,2_3,OMT,2007,Maize,0,6267.806562,1647.32,56.16,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
240,2_4,LMT,2007,Tomato,1622.439,0,1353.57,58.825,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
241,4_4,LMT,2007,Tomato,2590.3839,0,1862.28,74.62,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
242,4_5,CMT,2007,Maize,0,7777.24252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
243,5_5,CMT,2007,Tomato,3139.6414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
244,6_3,LMT,2007,Maize,0,5203.841667,1811.655,64.53,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
245,6_4,OMT,2007,Maize,0,7103.888189,1774,56.705,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
246,6_5,OMT,2007,Tomato,2103.5484,0,1812.14,79.22,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
247,6_7,LMT,2007,Maize,0,4442.783333,2103.685,62.57,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
248,6_8,OMT,2007,Maize,0,7426.537139,1576.32,66.155,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
249,6_9,LMT,2007,Tomato,2013.1488,0,1726.265,79.655,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
250,7_8,CMT,2007,Tomato,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
251,8_8,OMT,2007,Tomato,2373.4908,0,1649.37,84.76,0,0,4,27.6,1.86,2.45,1.08,4620,2474.8368,219.6866,96.84144,41.426616,166.78248,0,0,0,0
252,8_9,CMT,2007,Maize,0,7311.505774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.535419,50.43825,20.511555,50.43825
253,1_1,LMT,2008,Fallow,0,0,828.035,53.38,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
254,1_2,OMT,2008,Sudangrass,0,0,1380.265,83.165,0,2140.523586,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
255,1_3,CMT,2008,Tomato,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
256,1_4,CMT,2008,Maize,0,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3226169,50.29534163,84.7250515,50.29534163
257,2_3,OMT,2008,Tomato,1251.8208,0,841.145,56.08,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
258,2_4,LMT,2008,Fallow,0,0,954.19,59.835,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
259,4_4,LMT,2008,Fallow,0,0,1044.83,62.17,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
260,4_5,CMT,2008,Tomato,2984.9974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
261,5_5,CMT,2008,Maize,0,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3226169,50.29534163,84.7250515,50.29534163
262,6_3,LMT,2008,Fallow,0,0,820.215,64.38,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
263,6_4,OMT,2008,Tomato,2318.9832,0,1026.305,67.95,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
264,6_5,OMT,2008,Sudangrass,0,0,1496.535,100.095,0,3283.250854,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
265,6_7,LMT,2008,Fallow,0,0,734.85,53.85,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
266,6_8,OMT,2008,Tomato,2040.5124,0,1162.665,82.345,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
267,6_9,LMT,2008,Fallow,0,0,1264.03,77.995,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
268,7_8,CMT,2008,Maize,0,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.3226169,50.29534163,84.7250515,50.29534163
269,8_8,OMT,2008,Sudangrass,0,0,1789.875,100.27,0,3565.636991,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
270,8_9,CMT,2008,Tomato,3007.4576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
271,1_1,LMT,2009,Sudangrass,0,0,1194.935,73.635,0,2514.951687,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
272,1_2,OMT,2009,Tomato,3020.9076,0,1789.43,108.18,0,0,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
273,1_3,CMT,2009,Maize,0,5332,0,0,0,2411.989909,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
274,1_4,CMT,2009,Tomato,1996.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
275,2_3,OMT,2009,Sudangrass,0,0,11456.87,100.65,0,2866.098223,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
276,2_4,LMT,2009,Tomato,2594.0629,0,1702.45,100.165,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
277,4_4,LMT,2009,Tomato,3261.0656,0,1886.11,103.005,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
278,4_5,CMT,2009,Maize,0,5332,0,0,0,3562.051251,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
279,5_5,CMT,2009,Tomato,2144.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
280,6_3,LMT,2009,Sudangrass,0,0,1610.04,94.245,0,2558.660545,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
281,6_4,OMT,2009,Sudangrass,0,0,2131.01,120.17,0,3436.284876,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
282,6_5,OMT,2009,Tomato,2344.5684,0,1677.905,89.515,0,0,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
283,6_7,LMT,2009,Sudangrass,0,0,1531.795,84.025,0,3336.023538,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
284,6_8,OMT,2009,Sudangrass,0,0,1929.58,105.69,0,2841.30384,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
285,6_9,LMT,2009,Tomato,3109.1229,0,2092.82,97.975,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
286,7_8,CMT,2009,Tomato,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
287,8_8,OMT,2009,Tomato,2736.504,0,1523.15,88.72,0,0,4,14.9,1.97,1.94,1.59,6400,1336.0532,173.95592,142.57212,57.38752,176.64596,0,0,0,0
288,8_9,CMT,2009,Maize,0,5332,0,0,0,3361.849991,0,0,0,0,0,0,0,0,0,0,0,50.43825,50.43825,20.511555,50.43825
289,1_1,LMT,2010,Tomato,4023.3544,0,713.7,46.01,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52325,50.43825,20.511555,50.43825
290,1_2,OMT,2010,Wheat,0,0,1164.3,91.44,4377.715845,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
291,1_3,CMT,2010,Tomato,3737.5982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52325,50.43825,20.511555,50.43825
292,1_4,CMT,2010,Wheat,0,0,0,0,5393.323551,0,0,0,0,0,0,0,0,0,0,0,0,168.172334,0,0,0
293,2_3,OMT,2010,Tomato,2980.8612,0,1002.635,88.435,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
294,2_4,LMT,2010,Wheat,0,0,731.21,49.8,5350.647868,0,0,0,0,0,0,0,0,0,0,0,0,168.172334,0,0,0
295,4_4,LMT,2010,Wheat,0,0,731.21,49.8,5350.647868,0,0,0,0,0,0,0,0,0,0,0,0,168.172334,0,0,0
296,4_5,CMT,2010,Tomato,3260.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52325,50.43825,20.511555,50.43825
297,5_5,CMT,2010,Wheat,0,0,0,0,5393.323551,0,0,0,0,0,0,0,0,0,0,0,0,168.172334,0,0,0
298,6_3,LMT,2010,Tomato,4770.5593,0,792.69,56.145,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52325,50.43825,20.511555,50.43825
